boq_text,industry,subcategory,quantity,unit,project_type,season,region,tasks,stages
Fabricating tank cleaning using chemicals and tools including primer coat,Tank Cleaning,Tank,79,rmt,Commercial,festival,central,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing RCC work using PVC pipes in structural members including primer coat,Infra,RCC,260,rmt,Residential,festival,south,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Applying electrical wiring with gypsum boards conduits with surface preparation,Electrical,Wiring,285,nos,Residential,monsoon,central,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing RCC work using gypsum boards in structural members as per specifications,Infra,RCC,287,sqm,Industrial,monsoon,central,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Providing electrical wiring with laminated boards conduits with surface preparation,Electrical,Wiring,162,sqm,Commercial,monsoon,east,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing ceramic tiles for false ceiling framework with surface preparation,Interior,FalseCeiling,425,nos,Industrial,festival,west,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""channel fixing"", ""board installation"", ""joint taping"", ""screw fixing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Installing electrical wiring with ceramic tiles conduits including finishing,Electrical,Wiring,301,nos,Industrial,monsoon,central,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating tank cleaning using chemicals and tools including joint treatment,Tank Cleaning,Tank,303,nos,Industrial,festival,south,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying electrical wiring with gypsum boards conduits as per standards,Electrical,Wiring,369,rmt,Residential,normal,east,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing electrical wiring with vitrified tiles conduits including joint treatment,Electrical,Wiring,331,kg,Commercial,monsoon,south,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing gypsum boards for false ceiling framework as per specifications,Interior,FalseCeiling,242,kg,Commercial,festival,south,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""channel fixing"", ""board installation"", ""joint taping"", ""screw fixing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fabricating emulsion paint for false ceiling framework with curing,Interior,FalseCeiling,121,kg,Residential,monsoon,east,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""channel fixing"", ""board installation"", ""joint taping"", ""screw fixing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fabricating cement concrete piping network as per standards,Plumbing,Piping,299,kg,Commercial,festival,south,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing two coats of acrylic paint on wall surface with complete materials,Interior,Painting,485,rmt,Commercial,monsoon,south,"[""site measurement"", ""surface preparation"", ""putty application"", ""primer application"", ""paint coat 1"", ""paint coat 2"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fixing RCC work using laminated boards in structural members including joint treatment,Infra,RCC,91,nos,Residential,festival,east,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fabricating laminated boards piping network as per standards,Plumbing,Piping,36,kg,Industrial,monsoon,north,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing RCC work using acrylic paint in structural members with surface preparation,Infra,RCC,254,sqm,Residential,festival,north,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Applying tank cleaning using chemicals and tools as per specifications,Tank Cleaning,Tank,428,sqm,Commercial,festival,north,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing RCC work using PVC pipes in structural members with complete materials,Infra,RCC,384,sqm,Residential,monsoon,east,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Preparing vitrified tiles piping network as per standards,Plumbing,Piping,45,sqm,Industrial,festival,north,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing RCC work using laminated boards in structural members as per standards,Infra,RCC,480,kg,Industrial,festival,west,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Providing electrical wiring with vitrified tiles conduits with complete materials,Electrical,Wiring,311,kg,Commercial,monsoon,east,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying electrical wiring with laminated boards conduits with complete materials,Electrical,Wiring,137,nos,Industrial,normal,east,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing electrical wiring with gypsum boards conduits including finishing,Electrical,Wiring,411,rmt,Commercial,monsoon,south,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing electrical wiring with cement concrete conduits including finishing,Electrical,Wiring,194,nos,Residential,monsoon,central,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing RCC work using laminated boards in structural members as per standards,Infra,RCC,400,kg,Residential,normal,central,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Laying two coats of ceramic tiles on wall surface including finishing,Interior,Painting,482,sqm,Commercial,festival,east,"[""site measurement"", ""surface preparation"", ""putty application"", ""primer application"", ""paint coat 1"", ""paint coat 2"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Preparing tank cleaning using chemicals and tools with complete materials,Tank Cleaning,Tank,337,rmt,Commercial,normal,east,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing cement concrete flooring with adhesive as per specifications,Interior,Tiling,210,sqm,Commercial,festival,west,"[""site measurement"", ""layout marking"", ""adhesive application"", ""tile laying"", ""grouting"", ""edge finishing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing electrical wiring with emulsion paint conduits with curing,Electrical,Wiring,69,kg,Industrial,festival,south,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing acrylic paint piping network as per standards,Plumbing,Piping,369,sqm,Residential,monsoon,east,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing tank cleaning using chemicals and tools as per standards,Tank Cleaning,Tank,393,nos,Industrial,normal,south,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying cement concrete piping network with complete materials,Plumbing,Piping,144,sqm,Commercial,monsoon,central,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing wooden panels piping network as per standards,Plumbing,Piping,198,rmt,Commercial,normal,central,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing acrylic paint flooring with adhesive including finishing,Interior,Tiling,449,sqm,Residential,normal,west,"[""site measurement"", ""layout marking"", ""adhesive application"", ""tile laying"", ""grouting"", ""edge finishing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing vitrified tiles piping network including finishing,Plumbing,Piping,293,kg,Residential,monsoon,north,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying RCC work using emulsion paint in structural members as per specifications,Infra,RCC,71,sqm,Residential,normal,central,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Providing reinforcement steel for false ceiling framework including joint treatment,Interior,FalseCeiling,406,nos,Commercial,normal,central,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""channel fixing"", ""board installation"", ""joint taping"", ""screw fixing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fabricating RCC work using ceramic tiles in structural members including joint treatment,Infra,RCC,298,nos,Industrial,festival,north,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Executing RCC work using ceramic tiles in structural members with surface preparation,Infra,RCC,87,sqm,Commercial,normal,north,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Applying tank cleaning using chemicals and tools including finishing,Tank Cleaning,Tank,398,kg,Industrial,festival,east,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing ceramic tiles flooring with adhesive with curing,Interior,Tiling,261,sqm,Residential,festival,east,"[""site measurement"", ""layout marking"", ""adhesive application"", ""tile laying"", ""grouting"", ""edge finishing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing two coats of cement concrete on wall surface with curing,Interior,Painting,368,nos,Commercial,festival,south,"[""site measurement"", ""surface preparation"", ""putty application"", ""primer application"", ""paint coat 1"", ""paint coat 2"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Constructing tank cleaning using chemicals and tools with curing,Tank Cleaning,Tank,48,sqm,Commercial,festival,north,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying electrical wiring with GI channels conduits with curing,Electrical,Wiring,368,nos,Commercial,monsoon,east,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing electrical wiring with vitrified tiles conduits with complete materials,Electrical,Wiring,89,sqm,Residential,monsoon,west,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing cement concrete piping network as per specifications,Plumbing,Piping,404,rmt,Commercial,monsoon,west,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing vitrified tiles piping network including joint treatment,Plumbing,Piping,433,sqm,Residential,monsoon,north,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating PVC pipes flooring with adhesive including finishing,Interior,Tiling,356,nos,Commercial,normal,south,"[""site measurement"", ""layout marking"", ""adhesive application"", ""tile laying"", ""grouting"", ""edge finishing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing RCC work using cement concrete in structural members with surface preparation,Infra,RCC,58,kg,Residential,normal,south,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Installing two coats of vitrified tiles on wall surface with surface preparation,Interior,Painting,431,kg,Commercial,festival,south,"[""site measurement"", ""surface preparation"", ""putty application"", ""primer application"", ""paint coat 1"", ""paint coat 2"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Providing tank cleaning using chemicals and tools with complete materials,Tank Cleaning,Tank,111,kg,Residential,normal,east,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing two coats of acrylic paint on wall surface as per standards,Interior,Painting,483,kg,Industrial,monsoon,west,"[""site measurement"", ""surface preparation"", ""putty application"", ""primer application"", ""paint coat 1"", ""paint coat 2"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Preparing vitrified tiles for false ceiling framework as per specifications,Interior,FalseCeiling,119,rmt,Commercial,monsoon,west,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""channel fixing"", ""board installation"", ""joint taping"", ""screw fixing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Installing electrical wiring with laminated boards conduits including joint treatment,Electrical,Wiring,265,kg,Industrial,monsoon,south,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing and fixing of vitrified tiles for woodwork with curing,Interior,Carpentry,112,rmt,Industrial,festival,south,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""panel installation"", ""screw fixing"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing RCC work using cement concrete in structural members including primer coat,Infra,RCC,186,nos,Commercial,monsoon,north,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Installing and fixing of acrylic paint for woodwork including joint treatment,Interior,Carpentry,39,kg,Industrial,monsoon,central,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""panel installation"", ""screw fixing"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing electrical wiring with ceramic tiles conduits with surface preparation,Electrical,Wiring,146,sqm,Residential,festival,west,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing ceramic tiles piping network as per specifications,Plumbing,Piping,422,nos,Industrial,normal,east,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing tank cleaning using chemicals and tools including joint treatment,Tank Cleaning,Tank,99,kg,Residential,normal,south,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying electrical wiring with cement concrete conduits including primer coat,Electrical,Wiring,10,nos,Industrial,normal,north,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating acrylic paint piping network including finishing,Plumbing,Piping,85,rmt,Residential,festival,east,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing and fixing of wooden panels for woodwork with complete materials,Interior,Carpentry,182,nos,Commercial,normal,north,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""panel installation"", ""screw fixing"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating RCC work using vitrified tiles in structural members as per specifications,Infra,RCC,124,rmt,Commercial,monsoon,east,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Applying electrical wiring with wooden panels conduits with curing,Electrical,Wiring,445,sqm,Residential,festival,east,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing tank cleaning using chemicals and tools as per standards,Tank Cleaning,Tank,179,sqm,Residential,monsoon,east,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating electrical wiring with reinforcement steel conduits including finishing,Electrical,Wiring,145,rmt,Residential,festival,south,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing acrylic paint piping network including finishing,Plumbing,Piping,207,kg,Industrial,monsoon,north,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing RCC work using GI channels in structural members with curing,Infra,RCC,61,kg,Industrial,festival,north,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Providing electrical wiring with acrylic paint conduits including joint treatment,Electrical,Wiring,20,nos,Commercial,normal,south,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing vitrified tiles piping network with complete materials,Plumbing,Piping,290,sqm,Commercial,festival,central,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing RCC work using laminated boards in structural members as per standards,Infra,RCC,320,kg,Residential,normal,south,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Installing PVC pipes piping network including joint treatment,Plumbing,Piping,348,nos,Commercial,normal,south,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing reinforcement steel for false ceiling framework as per standards,Interior,FalseCeiling,37,nos,Residential,monsoon,south,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""channel fixing"", ""board installation"", ""joint taping"", ""screw fixing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Installing emulsion paint piping network including finishing,Plumbing,Piping,115,rmt,Industrial,monsoon,south,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying RCC work using PVC pipes in structural members including primer coat,Infra,RCC,260,nos,Residential,festival,central,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fabricating RCC work using PVC pipes in structural members as per specifications,Infra,RCC,105,kg,Residential,monsoon,west,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Installing RCC work using gypsum boards in structural members including finishing,Infra,RCC,87,sqm,Residential,festival,east,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Installing tank cleaning using chemicals and tools including finishing,Tank Cleaning,Tank,440,kg,Industrial,monsoon,central,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing RCC work using gypsum boards in structural members with complete materials,Infra,RCC,212,sqm,Industrial,festival,central,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Providing tank cleaning using chemicals and tools as per standards,Tank Cleaning,Tank,495,rmt,Residential,normal,north,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing laminated boards for false ceiling framework with curing,Interior,FalseCeiling,113,rmt,Industrial,monsoon,east,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""channel fixing"", ""board installation"", ""joint taping"", ""screw fixing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Preparing two coats of cement concrete on wall surface with curing,Interior,Painting,292,nos,Commercial,festival,west,"[""site measurement"", ""surface preparation"", ""putty application"", ""primer application"", ""paint coat 1"", ""paint coat 2"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Providing PVC pipes for false ceiling framework as per standards,Interior,FalseCeiling,85,sqm,Residential,festival,south,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""channel fixing"", ""board installation"", ""joint taping"", ""screw fixing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Preparing gypsum boards piping network with curing,Plumbing,Piping,345,kg,Industrial,festival,west,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying PVC pipes flooring with adhesive as per standards,Interior,Tiling,326,kg,Residential,monsoon,east,"[""site measurement"", ""layout marking"", ""adhesive application"", ""tile laying"", ""grouting"", ""edge finishing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing electrical wiring with gypsum boards conduits as per specifications,Electrical,Wiring,20,nos,Commercial,monsoon,east,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing RCC work using vitrified tiles in structural members including joint treatment,Infra,RCC,390,kg,Commercial,monsoon,west,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Installing tank cleaning using chemicals and tools with surface preparation,Tank Cleaning,Tank,477,kg,Industrial,monsoon,central,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing vitrified tiles piping network with complete materials,Plumbing,Piping,169,kg,Residential,festival,central,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing ceramic tiles flooring with adhesive including finishing,Interior,Tiling,137,sqm,Commercial,normal,east,"[""site measurement"", ""layout marking"", ""adhesive application"", ""tile laying"", ""grouting"", ""edge finishing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating electrical wiring with reinforcement steel conduits with curing,Electrical,Wiring,335,sqm,Industrial,normal,north,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing vitrified tiles piping network including primer coat,Plumbing,Piping,310,nos,Commercial,normal,east,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying and fixing of PVC pipes for woodwork including finishing,Interior,Carpentry,93,rmt,Residential,festival,north,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""panel installation"", ""screw fixing"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing electrical wiring with cement concrete conduits including finishing,Electrical,Wiring,452,sqm,Commercial,normal,north,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing tank cleaning using chemicals and tools including joint treatment,Tank Cleaning,Tank,374,nos,Commercial,monsoon,east,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing RCC work using reinforcement steel in structural members including joint treatment,Infra,RCC,356,kg,Industrial,normal,south,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Constructing tank cleaning using chemicals and tools including joint treatment,Tank Cleaning,Tank,162,sqm,Commercial,normal,east,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
